PRIAPISMO - TRATAMENTO NO CIRRGICO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
PULSOTERAPIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
OXIGENOTERAPIA HIPERBRICA (COM DIRETRIZ DE UTILIZAO),,,,,HCO,HSO,REF,PAC,58,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REDUO DE LUXAO DA ATM (COM DIRETRIZ DE UTILIZAO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,96,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REMINERALIZAO DENTRIA,,,Seg. Odontológica,,,,,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
SESSO DE ACUPUNTURA,,,,Seg. Ambulatorial,,,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
"TERAPIA AVANADA PARA O TRATAMENTO DA ATROFIA MUSCULAR ESPINHAL (COM DIRETRIZ DE
UTILIZAO)",571/2023,10/02/2023,,,HCO,HSO,REF,PAC,159,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
"TERAPIA PARA DOENA DE FABRY CLSSICA (COM DIRETRIZ
DE UTILIZAO)","581/2023
599/2024","12/07/2023
05/03/2024",,Seg. Ambulatorial,HCO,HSO,REF,PAC,161,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
"TERAPIA COM ALFACERLIPONASE PARA LIPOFUSCINOSE CEROIDE NEURONAL TIPO 2 (CLN2) (COM DIRETRIZ
DE UTILIZAO)",538/2022,22/10/2022,,,HCO,HSO,REF,PAC,153,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
"TERAPIA IMUNOBIOLGICA ENDOVENOSA, INTRAMUSCULAR OU SUBCUTNEA (COM DIRETRIZ DE
UTILIZAO)",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,65,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
TERAPIA IMUNOPROFILTICA PARA O VRUS SINCICIAL RESPIRATRIO (VSR) (COM DIRETRIZ DE UTILIZAO),"465/2021
624/2024","01/04/2021
03/02/2025",,Seg. Ambulatorial,HCO,HSO,REF,,124,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
TERAPIA INALATRIA (NEBULIZAO),,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
TERAPIA INTRAVENOSA COM CIDO ZOLEDRNICO (COM DIRETRIZ DE UTILIZAO),592/2023,18/12/2023,,Seg. Ambulatorial,HCO,HSO,REF,PAC,163,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
TERAPIA MEDICAMENTOSA INJETVEL AMBULATORIAL (COM DIRETRIZ DE UTILIZAO),546/2022,03/10/2022,,Seg. Ambulatorial,HCO,HSO,REF,,158,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
TERAPIA ONCOLGICA - PLANEJAMENTO,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
TERAPIA ONCOLGICA COM APLICAO DE MEDICAMENTOS POR VIA INTRACAVITRIA OU INTRATECAL,,,,,HCO,HSO,REF,PAC,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
TERAPIA ONCOLGICA COM APLICAO INTRA-ARTERIAL OU INTRAVENOSA DE MEDICAMENTOS,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
TERAPIA ONCOLGICA MEDICAMENTOSA PEROPERATRIA,,,,,HCO,HSO,REF,PAC,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
TERAPIA POR PRESSO NEGATIVA (COM DIRETRIZ DE UTILIZAO),,,,Seg. Ambulatorial,HCO,HSO,REF,,148,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
APNDICE PR-AURICULAR - RESSECO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
APLICAO DE CONTRACEPTIVO HORMONAL INJETVEL (COM DIRETRIZ DE UTILIZAO),538/2022,22/10/2022,,Seg. Ambulatorial,,,REF,,154,PROCEDIMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
IMPLANTE SUBDRMICO HORMONAL PARA CONTRACEPO (COM DIRETRIZ DE UTILIZAO),619/2024,02/01/2025,,Seg. Ambulatorial,,,REF,,170,PROCEDIMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
AUTONOMIZAO DE RETALHO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA DE FACE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
"BIPSIA DE PELE, TUMORES SUPERFICIAIS, TECIDO CELULAR SUBCUTNEO, LINFONODO SUPERFICIAL,
UNHA, ETC",,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
CALOSIDADE E/OU MAL PERFURANTE - DESBASTAMENTO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
CANTOPLASTIA UNGUEAL,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
CAUTERIZAO QUMICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
CIRURGIA DA HIDROSADENITE,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
CORREO CIRRGICA DE SEQUELAS DE ALOPECIA TRAUMTICA COM MICROENXERTOS PILOSOS,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"CORREO DE DEFORMIDADES POR EXRESE DE TUMORES OU SEQELAS DE TRAUMATISMOS COM O
EMPREGO DE EXPANSORES EM RETALHOS CUTNEOS, MUSCULARES E/OU MIOCUTNEOS",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
CRIOCIRURGIA (NITROGNIO LQUIDO) DE NEOPLASIAS CUTNEAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
CURATIVO DE QUEIMADURAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
CURATIVO ESPECIAL SOB ANESTESIA,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"CURETAGEM, ELETROCOAGULAO E/OU DERMOABRASO DE LESES DE PELE E MUCOSAS",,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
ABDOMINOPLASTIA (COM DIRETRIZ DE UTILIZAO),,,,,HCO,HSO,REF,,18,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
DESBRIDAMENTO CIRRGICO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
DESBRIDAMENTO DE FERIMENTOS INFECTADOS E MORDIDAS DE ANIMAIS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"ENXERTO DE CARTILAGEM, MUCOSA E/OU COMPOSTO",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
ENXERTO DE PELE MLTIPLO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
ENXERTO OU HOMOENXERTO DE PELE,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
ESCALPO - TRATAMENTO CIRRGICO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
ESCAROTOMIA DESCOMPRESSIVA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
EXRESE DE HIGROMA CSTICO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXRESE DE LESO COM AUTO-ENXERTIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXRESE DE LESO DE PELE E MUCOSAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXRESE DE TUMOR DE PARTES MOLES,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXRESE DE UNHA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXRESE E SUTURA DE LESES COM OU SEM ROTAO DE RETALHOS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXPANSO TISSULAR,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXCISO E RETALHOS CUTNEOS",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXRESE E EMPREGO DE RETALHOS CUTNEOS OU
MUSCULARES CRUZADOS",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXRESE E RETALHOS CUTNEOS",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXRESE E ROTAO DE RETALHO FASCIOCUTNEO
OU AXIAL",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXRESE E ROTAO DE RETALHOS MIOCUTNEOS",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXRESE E ROTAO DE RETALHOS MUSCULARES",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"EXTENSOS FERIMENTOS, CICATRIZES, OU TUMORES - EXRESE E ENXERTO CUTNEO",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"INCISO E DRENAGEM DE ABSCESSO, HEMATOMA, FLEGMO E/OU PANARCIO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"INFILTRAO INTRALESIONAL, CICATRICIAL E HEMANGIOMAS",,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
MATRICECTOMIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
LASERTERAPIA PARA O TRATAMENTO DA MUCOSITE ORAL/OROFARINGE (COM DIRETRIZ DE UTILIZAO),,,,Seg. Ambulatorial,HCO,HSO,REF,,51,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
PLSTICA EM Z OU W,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
RECONSTRUO COM RETALHOS DE GLEA APONEURTICA,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"RETALHO CUTNEO, MUSCULAR OU COMPOSTO (INCLUINDO CARTILAGEM OU OSSO)",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
RETIRADA DE CORPO ESTRANHO SUBCUTNEO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
RETRAO CICATRICIAL DE ZONA DE FLEXO E EXTENSO DE MEMBROS SUPERIORES E INFERIORES,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
RETRAO DE APONEUROSE PALMAR (DUPUYTREN),,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
SUTURA DE FERIMENTOS COM OU SEM DESBRIDAMENTO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
TERAPIA POR PRESSO NEGATIVA (COM DIRETRIZ DE UTILIZAO),,,,Seg. Ambulatorial,HCO,HSO,REF,,148,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRANSECO DE RETALHO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRANSFERNCIA INTERMEDIRIA DE RETALHO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DA UNHA (ENXERTO),,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
"TRATAMENTO CIRRGICO DE HEMANGIOMAS, LINFANGIOMAS OU NEVUS",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DE BRIDAS CONSTRICTIVAS,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DO ABSCESSO DE UNHA (DRENAGEM),,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO DA MIIASE FURUNCULIDE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO DE ESCARAS OU ULCERAES COM RETALHOS CUTNEOS,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO DE ESCARAS OU ULCERAES COM RETALHOS MIOCUTNEOS OU MUSCULARES,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO DE FSTULA CUTNEA,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA DE LBIO (COM DIRETRIZ DE UTILIZAO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,83,LBIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXCISO COM PLSTICA DE VERMELHO,,,,,HCO,HSO,REF,,,LBIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
EXCISO COM RECONSTRUO COM OU SEM RETALHOS,,,,,HCO,HSO,REF,,,LBIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
EXCISO EM CUNHA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,LBIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
FRENOTOMIA/FRENULOTOMIA LABIAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,LBIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
FRENULECTOMIA LABIAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,LBIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
QUEILOPLASTIA PARA FISSURA LABIAL,,,,,HCO,HSO,REF,,,LBIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RECONSTRUO DE SULCO GENGIVO-LABIAL,,,,,HCO,HSO,REF,,,LBIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RECONSTRUO TOTAL DO LBIO,,,,,HCO,HSO,REF,,,LBIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DE HIPERTROFIA DO LBIO,,,,,HCO,HSO,REF,,,LBIO,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ADEQUAO DO MEIO BUCAL (COM DIRETRIZ DE UTILIZAO),,,Seg. Odontológica,,,,,,78,BOCA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
AJUSTE OCLUSAL POR ACRSCIMO,,,Seg. Odontológica,,,,,,,BOCA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
AJUSTE OCLUSAL POR DESGASTE SELETIVO,,,Seg. Odontológica,,,,,,,BOCA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ALONGAMENTO CIRRGICO DO PALATO MOLE,,,,,HCO,HSO,REF,,,BOCA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ALVEOLOPLASTIA,,,Seg. Odontológica,,,,,,,BOCA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
AMPUTAO RADICULAR COM OBTURAO RETRGRADA,,,Seg. Odontológica,,,,,,,BOCA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
AMPUTAO RADICULAR SEM OBTURAO RETRGRADA,,,Seg. Odontológica,,,,,,,BOCA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
APICETOMIA BIRRADICULARES COM OBTURAO RETRGRADA,,,Seg. Odontológica,,,,,,,BOCA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
APICETOMIA BIRRADICULARES SEM OBTURAO RETRGRADA,,,Seg. Odontológica,,,,,,,BOCA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
APICETOMIA MULTIRRADICULARES COM OBTURAO RETRGRADA,,,Seg. Odontológica,,,,,,,BOCA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
APICETOMIA MULTIRRADICULARES SEM OBTURAO RETRGRADA,,,Seg. Odontológica,,,,,,,BOCA,CABEA E PESCOO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
